ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Excerpt,Number-Of-Pages,Publish-Places,Tags
0375508414,Fried Green Tomatoes At The Whistle Stop Cafe,Fannie Flagg,2002,Random House,http://images.amazon.com/images/P/0375508414.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375508414.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375508414.01.LZZZZZZZ.jpg,,403,['New York'],"['Women', 'Love Stories', 'Race Relations', 'Lesbians -- Fiction', 'Fiction', 'Large Type Books', 'General', 'Lgbtq Novels', 'Domestic Fiction', 'Alabama', 'Restaurants', 'Friendship', 'Lesbians', 'Kvinnlig Vnskap', 'Female Friendship', 'Alabama -- Fiction', 'Romance', 'Sknlitteratur', 'Family Life']"
0782110940,The Official Novell Dr Dos 6 Instant Reference (The Inside Story),Robert M. Thomas,1992,Sybex Inc,http://images.amazon.com/images/P/0782110940.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0782110940.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0782110940.01.LZZZZZZZ.jpg,,296,"['San Jose', 'Alameda, CA']",['Dr Dos']
0061097640,I Know This Much Is True,Wally Lamb,1999,Reganbooks,http://images.amazon.com/images/P/0061097640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061097640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061097640.01.LZZZZZZZ.jpg,,894,['New York'],"['General', 'Mentally Ill', 'Brothers', 'New England', 'Italian Americans', 'Psychological', 'Fiction', 'Fathers And Sons', 'Twins', 'Family Life']"
0142001740,Secret Life Of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,,302,['New York'],"['Women', 'Race Relations', 'African Americans', 'Fiction', 'Large Type Books', 'Fictional Works', 'Teenagers', 'General', 'Sisters In Fiction', 'Domestic Fiction', 'Beekeeping', 'Sisters', 'Girls', 'Racism', 'Beekeepers', 'Coming Of Age', 'Historical', 'Teenage Girls', 'Secrets', 'Maternal Deprivation', 'Literature', 'Historical Fiction', 'South Carolina', 'Family Life']"
0618346260,The Lord Of The Rings,J. R. R. Tolkien,2003,Houghton Mifflin Company,http://images.amazon.com/images/P/0618346260.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618346260.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618346260.01.LZZZZZZZ.jpg,Aragorn Sped On Up The Hill.,0,"['Boston, USA']","['Fantasmes', 'Fiction', 'Large Type Books', 'Magic', 'Ficcin', 'Ents', 'General', 'Nouvelles', 'Romans', 'Adventure Fiction', 'Fiction In English', 'Geographical Myths', 'Fantasy Anglaise', 'Roman Fantastique', 'Hobbits', 'English Fiction', 'Popular Carousel', 'Orcs', 'Fantasy', 'Baggins', 'Epic Fiction', 'Fantasy Fiction', 'Fantastic Fiction', 'Novela', 'Epic']"
0440237688,The Giver,Lois Lowry,2002,Laurel Leaf,http://images.amazon.com/images/P/0440237688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440237688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440237688.01.LZZZZZZZ.jpg,"It Was Almost December, And Jonas Was Beginning To Be Frightened.",179,['New York'],"['Classic', 'Juvenile Fiction', 'Dystopias', 'Social Control', 'Fiction', 'Individuality', 'Questions', 'Childrens Literature', 'Science Fiction', 'Childrens Fiction', 'Books And Reading', 'Study And Teaching', 'Memory', 'Newbery Medal', 'Etc', 'Novel', 'Ciencia-Ficcin', 'Dystopian', 'Literature', 'Sci Fi', 'Control (Psychology)', 'Blind', 'Ethics', 'Examinations']"
0553381679,Clan Of The Cave Bear,Jean M. Auel,2002,Bantam,http://images.amazon.com/images/P/0553381679.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553381679.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553381679.01.LZZZZZZZ.jpg,The Naked Child Ran Out Of The Hide-Covered Lean-To Toward The Rocky Beach At The Bend In The Small River.,494,['New York'],"['Sign Language', 'Women', 'Fiction', 'Large Type Books', 'American Fiction', 'Nouvelles', 'Prehistoric Fiction', 'Romans', 'General', 'Europe', 'Fiction In English', 'Shamanism', 'Prhistoire', 'Glacial Epoch', 'Prehistoric Peoples', 'Epic Literature', 'Historical', 'Prehistoric Man', 'Taboos', 'Epic Fiction', 'Ice Age', 'Historical Fiction', 'Neanderthals', 'Epic']"
0312022824,Silence Of The Lambs,Thomas Harris,1999,St. Martins Press,http://images.amazon.com/images/P/0312022824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312022824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312022824.01.LZZZZZZZ.jpg,"Behavioral Science, The Fbi Section That Deals With Serial Murder, Is On The Bottom Floor Of The Academy Building At Quantico, Half-Buried In The Earth.",338,['New York'],"['Regny', 'Psychology', 'Fiction', 'Pupa', 'Large Type Books', 'Women Sleuths', 'General', 'Lambs', 'Forensic Psychiatry', 'Lecter', 'Horror', 'Amerikai Irodalom', 'Suspense', 'Mystery  Detective', 'Serial Murderers', 'Hannibal', 'Black Witch Moth', 'Offender Profiling', 'Psychological', 'Thrillers', 'Autopsy', 'Serial Murders']"
0743216393,Two For The Dough,Janet Evanovich,2001,Scribner,http://images.amazon.com/images/P/0743216393.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743216393.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743216393.01.LZZZZZZZ.jpg,,796,['New York'],"['Bounty Hunters', 'Mystery  Detective', 'Women Detectives', 'Fiction', 'Trenton (N.J.)', 'Women Sleuths', 'Plum', 'New Jersey']"
0553577336,Big Game (Predator),Sandy Schofield,1999,Spectra Books,http://images.amazon.com/images/P/0553577336.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553577336.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553577336.01.LZZZZZZZ.jpg,,226,['New York'],[]
