"Authors"
"Ann M. Martin"
"Carolyn Keene"
"Francine Pascal"
"Agatha Christie"
"Not Applicable (Na )"
"Barbara Cartland"
"R. L. Stine"
"Isaac Asimov"
"Nora Roberts"
"Franklin W. Dixon"
"Stephen King"
"Stan Berenstain"
"Don Pendleton"
"William Shakespeare"
"Marion Zimmer Bradley"
"Terry Pratchett"
"R.L. Stine"
"Enid Blyton"
"Louis Lamour"
"Janet Dailey"
"Piers Anthony"
"Diana Palmer"
"Golden Books"
"Jim Davis"
"Fern Michaels"
"Debbie Macomber"
"Mary Higgins Clark"
"Betty Neels"
"Alan Dean Foster"
"Author Unknown"
"Readers Digest"
"Danielle Steel"
"Margaret Weis"
"Andre Norton"
"Ed Mcbain"
"Richard Scarry"
"Carole Mortimer"
"Mercer Mayer"
"Robert Silverberg"
"Anne Mccaffrey"
"Orson Scott Card"
"Mercedes Lackey"
"Jim Wilson"
"Better Homes And Gardens"
"Edgar Allan Poe"
"Marie Ferrarella"
"Cassie Edwards"
"Emma Darcy"
"Penny Jordan"
"Sandra Brown"
"Ruth Rendell"
"Marion Chesney"
"Roald Dahl"
"Peter David"
"Poul Anderson"
"Walt Disney Productions"
"Kelli M. Gary"
"Anne Perry"
"Joyce Carol Oates"
"Tom Clancy"
"Martin H. Greenberg"
"Gertrude Chandler Warner"
"Jean Plaidy"
"Ellis Peters"
"Beatrix Potter"
"K. A. Applegate"
"Linda Howard"
"Jayne Ann Krentz"
"Andrew M. Greeley"
"Lawrence Block"
"V.C. Andrews"
"Christopher Pike"
"Patricia Highsmith"
"Barbara Delinsky"
"Rex Stout"
"Janette Oke"
"Fodors"
"Oscar Wilde"
"Joanna Cole"
"Georges Simenon"
"Walt Disney"
"Bonnie Bryant"
"Marc Brown"
"Charles M. Schulz"
"Norman Bridwell"
"Linda Lael Miller"
"Nathaniel Hawthorne"
"Time-Life Books"
"Mark Twain"
"Gabriel Garcia Marquez"
"Gary Paulsen"
"James Axler"
"Robert A. Heinlein"
"Catherine Coulter"
"Tim Lahaye"
"Dean Koontz"
"J. R. R. Tolkien"
"Erle Stanley Gardner"
"Justine Korman"
"William W. Johnstone"
